pitcher_id,name,pitches,pa,k_percent,bb_percent,woba,xwoba,gap,hard_hit_percent,window_days
676282,"Cantillo, Joey",290,70,30.0,15.7,0.239,0.28,-0.041,50.0,21
687570,"Prielipp, Connor",485,132,21.2,6.8,0.214,0.264,-0.05,36.8,21
657746,"Ryan, Joe",333,87,16.1,11.5,0.452,0.381,0.071,31.7,21
601713,"Pivetta, Nick",353,91,22.0,2.2,0.265,0.324,-0.059,40.6,21
703615,"Cabrera, Jose",50,14,7.1,14.3,0.318,0.361,-0.043,18.2,21
687134,"Blalock, Bradley",146,35,25.7,8.6,0.396,0.339,0.057,34.8,21
695505,"Burns, Chase",290,66,31.8,16.7,0.347,0.307,0.04,40.6,21
677944,"Cecconi, Slade",143,37,29.7,5.4,0.243,0.279,-0.036,62.5,21
815083,"Farris, Mitch",167,46,21.7,10.9,0.29,0.252,0.038,38.7,21
681916,"Smith, Dylan",138,36,8.3,19.4,0.361,0.338,0.023,46.2,21
671345,"Foley, Jason",180,42,7.1,11.9,0.357,0.353,0.004,35.3,21
681544,"Olds, Wyatt",129,30,36.7,20.0,0.338,0.276,0.062,23.1,21
680916,"Aleman, Franco",93,21,28.6,19.0,0.495,0.505,-0.01,36.4,21
800311,"Fuentes, Didier",212,49,32.7,6.1,0.194,0.261,-0.067,16.7,21
664199,"Clarke, Taylor",131,40,20.0,2.5,0.299,0.331,-0.032,46.7,21
694795,"Ekness, Josh",193,47,21.3,14.9,0.332,0.251,0.081,35.7,21
518886,"Kimbrel, Craig",123,32,12.5,18.8,0.426,0.387,0.039,42.9,21
663687,"Harris, Hogan",209,46,19.6,8.7,0.336,0.342,-0.006,36.4,21
665622,"Medina, Luis",206,51,35.3,19.6,0.208,0.237,-0.029,30.4,21
686973,"Varland, Louis",148,37,29.7,13.5,0.289,0.311,-0.022,33.3,21
592773,"Stanek, Ryne",121,32,28.1,9.4,0.178,0.259,-0.081,40.0,21
606996,"Hart, Kyle",115,30,6.7,16.7,0.387,0.385,0.002,34.8,21
677865,"Bruihl, Justin",151,37,18.9,10.8,0.318,0.438,-0.12,30.8,21
682982,"Espino, Daniel",150,39,28.2,15.4,0.377,0.341,0.036,31.8,21
663878,"Pearson, Nate",208,58,25.9,13.8,0.425,0.328,0.097,37.1,21
679885,"Martinez, Justin",100,28,39.3,7.1,0.171,0.131,0.04,35.7,21
606965,"Devenski, Chris",61,17,11.8,11.8,0.438,0.345,0.093,50.0,21
805345,"Harris, Trent",132,36,30.6,2.8,0.189,0.191,-0.002,29.2,21
571882,"Law, Derek",83,19,10.5,10.5,0.297,0.273,0.024,42.9,21
695378,"Sinclair, Jack",160,48,14.6,16.7,0.266,0.303,-0.037,45.5,21
690829,"Joyce, Ben",110,25,20.0,16.0,0.336,0.415,-0.079,37.5,21
676263,"Dreyer, Jack",124,36,16.7,8.3,0.294,0.352,-0.058,42.3,21
641755,"Kinley, Tyler",175,42,7.1,11.9,0.227,0.313,-0.086,23.5,21
552640,"Kittredge, Andrew",88,24,20.8,0.0,0.271,0.253,0.018,31.6,21
805427,"Sommers, Drew",150,47,38.3,4.3,0.313,0.215,0.098,44.4,21
806188,"Gibson, Cade",188,44,29.5,4.5,0.306,0.211,0.095,34.5,21
805299,"Garcia, Brandyn",136,40,32.5,5.0,0.185,0.185,0.0,16.7,21
676477,"Whitlock, Garrett",138,34,29.4,8.8,0.274,0.3,-0.026,28.6,21
681810,"Warren, Austin",143,30,26.7,13.3,0.25,0.263,-0.013,27.8,21
695243,"Miller, Mason",186,44,50.0,11.4,0.207,0.224,-0.017,37.5,21
678020,"Halvorsen, Seth",96,29,17.2,3.4,0.434,0.344,0.09,47.8,21
666171,"Zeferjahn, Ryan",134,30,30.0,10.0,0.271,0.221,0.05,41.2,21
643511,"Rogers, Tyler",126,36,13.9,5.6,0.269,0.307,-0.038,17.2,21
682842,"Uribe, Abner",175,46,32.6,2.2,0.292,0.263,0.029,56.7,21
699134,"Rodriguez, Bradgley",170,45,33.3,4.4,0.331,0.277,0.054,32.1,21
687941,"Gamboa, Alec",78,21,19.0,14.3,0.374,0.306,0.068,78.6,21
621097,"Waguespack, Jacob",174,47,29.8,12.8,0.228,0.23,-0.002,25.9,21
663893,"Little, Brendon",150,36,33.3,16.7,0.309,0.181,0.128,12.5,21
676617,"O'Brien, Riley",129,38,23.7,10.5,0.384,0.385,-0.001,47.8,21
623149,"Sewald, Paul",114,28,14.3,3.6,0.167,0.241,-0.074,27.3,21
445276,"Jansen, Kenley",118,32,25.0,9.4,0.094,0.279,-0.185,42.9,21
676620,"Weiman, Blake",99,27,18.5,0.0,0.304,0.235,0.069,23.8,21
623465,"Phillips, Evan",87,21,33.3,4.8,0.26,0.31,-0.05,41.7,21
622088,"Antone, Tejay",125,36,30.6,13.9,0.257,0.271,-0.014,30.0,21
