"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Fedde, Erick","607200","228","16.3",35.1,"114.5","88.4","77.5","92.3","85.5","412","175","387","87",38.2,"19",8.3,6.2
"Martin, Davis","663436","227","11.4",35.2,"113.7","90.3","79.8","94","88","425","158","386","104",46.6,"14",6.2,4.2
"Freeland, Kyle","607536","227","15.2",36.6,"112.9","90.9","80.1","92.6","90.1","425","181","396","100",44.1,"21",9.3,6.9
"May, Dustin","669160","227","11.1",32.2,"114.7","90.2","79.7","94.3","88.7","405","153","371","106",46.7,"15",6.6,4.6
"Kay, Anthony","641743","226","12.3",34.5,"113.4","89.4","78.1","92.8","87.4","437","157","400","90",39.8,"21",9.3,6.5
"Montero, Keider","672456","226","20.6",30.1,"111.8","89.6","79.7","93","89.3","451","173","394","90",39.8,"19",8.4,6.4
"Detmers, Reid","672282","226","19.2",31,"111.7","89.3","79.4","91.6","89.5","430","174","406","81",35.8,"15",6.6,4.2
"Liberatore, Matthew","669461","226","13.7",41.2,"112","91.9","81.9","95.5","89.2","423","182","393","102",45.1,"24",10.6,7.5
"Houser, Adrian","605288","226","12.1",37.6,"112.8","90.9","80.1","95","87.9","473","170","405","99",43.8,"23",10.2,7.6
"Messick, Parker","800048","225","14.4",36,"110.4","87.9","76.8","91.2","85.5","429","159","391","78",34.7,"13",5.8,3.8
"Ray, Robbie","592662","225","20.1",34.2,"112.9","88.8","77.9","91.5","85.3","432","190","395","83",36.9,"26",11.6,7.7
"Yamamoto, Yoshinobu","808967","225","9.5",30.7,"114.2","88.5","77","92.4","85.4","414","147","385","84",37.3,"16",7.1,5
"Leahy, Kyle","681517","225","8.8",38.2,"113.5","92.6","82.7","95.2","90.5","435","169","398","114",50.7,"26",11.6,8.3
"Singer, Brady","663903","224","14.4",35.7,"113.4","91.3","81.3","94.3","87.9","443","181","397","95",42.4,"24",10.7,7.9
"Bradish, Kyle","680694","224","8.7",29.5,"114.2","88.6","77.4","93.5","86.8","439","147","393","85",37.9,"23",10.3,6.6
"Burke, Sean","680732","223","17.5",34.1,"113.4","89","78.9","91.1","87","430","176","401","81",36.3,"16",7.2,4.7
"Meyer, Max","676974","220","14.7",30,"112.1","89.8","79.4","93.7","87.8","445","162","409","95",43.2,"18",8.2,5.1
"Early, Connelly","813349","220","13.1",34.5,"113.3","90.5","80.4","93.9","87.5","419","173","395","93",42.3,"25",11.4,7.6
"Painter, Andrew","691725","219","16.4",31.1,"113","87.1","75","91","84.9","428","170","392","77",35.2,"21",9.6,7
"Rogers, Trevor","669432","219","18.3",33.8,"116.8","89.4","78.7","93.5","86.9","408","170","391","86",39.3,"15",6.8,5.2
"Webb, Logan","657277","219","4.2",31.5,"114.4","90","78.7","91.8","89.5","418","131","394","97",44.3,"12",5.5,3.9
"Hancock, Emerson","676106","217","13.1",33.2,"113.1","90.5","79.7","94.7","88.4","443","171","404","97",44.7,"23",10.6,7.3
"Castillo, Luis","622491","217","16.7",35,"112.3","90.4","80.2","94","87.6","422","170","399","97",44.7,"21",9.7,6.6
"deGrom, Jacob","594798","216","18.3",39.4,"114.9","90.7","80.9","93.3","87.6","428","194","392","95",44,"20",9.3,6
"Cavalli, Cade","676917","216","10",35.2,"111.5","89","77.9","91.4","87.6","417","155","387","84",38.9,"17",7.9,5.1
"Weathers, Ryan","677960","215","12.2",30.2,"114.6","89.1","77","94","85","445","172","410","89",41.4,"25",11.6,7.6
"Ober, Bailey","641927","214","23.1",27.6,"115.5","87.9","76.8","93.1","83.6","424","169","402","70",32.7,"21",9.8,7.5
"Roupp, Landen","694738","214","9.1",33.6,"112.9","87.1","76.5","92.1","83.2","406","149","389","64",29.9,"8",3.7,2.4
"Rocker, Kumar","677958","214","11.9",30.8,"113.6","90.1","78.7","94","88.6","443","157","406","95",44.4,"17",7.9,5.6
"Bello, Brayan","678394","213","8.2",33.3,"113.2","90.6","79.3","95.3","87","432","154","401","94",44.1,"21",9.9,7.4
"Gore, MacKenzie","669022","213","17",36.6,"113","89.7","77.9","94.3","84.5","422","184","385","94",44.1,"19",8.9,5.7
"Ginn, J.T.","669372","212","8.9",28.8,"112.1","88.1","76.6","94.3","83.9","413","149","385","80",37.7,"13",6.1,4.1
"Chandler, Bubba","696149","210","19.6",30,"114.8","89.1","79.1","92.9","86.3","457","175","412","73",34.8,"16",7.6,4.9
"Peterson, David","656849","210","7.4",34.8,"111.7","89.8","79.2","93.8","87.7","406","148","387","91",43.3,"14",6.7,4.7
"Warren, Will","701542","209","12.9",31.6,"115","90.1","79.9","93.7","87.6","422","158","374","81",38.8,"13",6.2,4.2
"Suarez, Ranger","624133","209","15",38.3,"111.1","86.8","75.5","90.4","85.2","434","157","418","68",32.5,"12",5.7,3.9
"Rasmussen, Drew","656876","209","9",29.7,"111.3","86.7","74.8","92.7","83.5","427","142","394","67",32.1,"14",6.7,4.5
"Gray, Sonny","543243","208","9.8",37,"111.1","88.8","78.1","93.7","85.8","424","160","397","78",37.5,"15",7.2,5.3
"Cantillo, Joey","676282","208","12",30.3,"111.7","87.9","76.3","91.9","84.4","425","162","396","78",37.5,"19",9.1,6.1
"Kochanowicz, Jack","686799","208","4.7",30.3,"111.4","89.4","77.9","92.9","87.7","427","136","396","89",42.8,"15",7.2,5.1
"Mlodzinski, Carmen","669387","207","14.2",33.8,"109.4","91.6","81.8","94.3","90.7","414","161","391","102",49.3,"16",7.7,5.6
"Skenes, Paul","694973","206","12.9",32.5,"110.4","87.4","75.6","92.9","83.6","424","156","395","74",35.9,"12",5.8,3.7
"McLean, Nolan","690997","206","8.7",33.5,"110.3","87","74.9","93.6","82","409","150","388","73",35.4,"12",5.8,3.5
"Holmes, Grant","656550","205","14",33.7,"111.3","91","81","94.8","88.1","439","167","387","92",44.9,"20",9.8,6.7
"Civale, Aaron","650644","204","20.6",38.2,"111.8","90.9","81.2","94.1","88.2","432","196","397","98",48,"20",9.8,7.5
"Buehler, Walker","621111","204","9.9",37.3,"111.9","90.6","80.9","93.4","88.9","425","156","392","86",42.2,"15",7.4,5.2
"Taillon, Jameson","592791","203","18",37.4,"112.4","88.5","76.8","94.7","80.6","444","201","400","78",38.4,"29",14.3,10.1
"Corbin, Patrick","571578","202","14.2",39.6,"114.6","89","77.6","94.1","84.4","419","168","396","86",42.6,"16",7.9,5.9
"Cabrera, Edward","665795","199","11.9",35.7,"115.4","91.2","80.8","95.9","87","434","168","393","84",42.2,"25",12.6,8.7
"Sale, Chris","519242","199","11.5",38.2,"113.2","86.8","75.6","90","84.3","413","160","390","62",31.2,"12",6,3.8
"Bradley, Taj","671737","199","16.5",42.7,"112.7","92.2","82.9","95.1","89.2","450","188","401","96",48.2,"21",10.6,6.8
"Junk, Janson","676083","197","14.4",28.9,"111.9","89.9","79.1","94.4","88.4","442","155","396","82",41.6,"13",6.6,5.1
